Feature,Chi2_Score,F_Score,MI_Score,RF_Importance,XGB_Importance,LR_Coef_Abs,RFE_RF_Ranking,RFE_LR_Ranking,RFECV_Ranking,Chi2_Score_Normalized,F_Score_Normalized,MI_Score_Normalized,RF_Importance_Normalized,XGB_Importance_Normalized,LR_Coef_Abs_Normalized,Combined_Score,Final_Ranking,SFM_RF_Selected,SFM_LR_Selected,RFE_RF_Selected,RFE_LR_Selected,RFECV_Selected,Selection_Count
ca,1.9736227840744018,6.841234957342481,0.058359804611192834,0.061155648256490676,0.11910965,0.2814305516649703,1,1,8,1.0,1.0,1.0,0.4126851603945241,1.0,0.9560976991679206,0.8947971432604075,1.0,True,True,True,True,False,4
chol,0.6906369055152688,4.175914702948874,0.04615199958160554,0.1481895985744346,0.076253496,0.22371113301826262,1,1,2,0.34993358968500493,0.6104036374992496,0.7908182676258317,1.0,0.6401958,0.7600088131569847,0.6918933491533404,2.0,True,True,True,True,False,4
cp,1.559952696494452,4.891430326883129,0.0,0.058464346728609964,0.0913587,0.29435334057376733,1,1,6,0.7904006323204489,0.7149923014460001,0.0,0.39452395641144633,0.7670134,1.0,0.6111550435281081,3.0,True,True,True,True,False,4
sex,1.20936649825107,2.680739507477759,0.0,0.027313623936189385,0.07866794,0.14562384198946726,4,1,11,0.6127647633629462,0.3918502323327758,0.0,0.1843153918962129,0.66046655,0.4947246112634918,0.3906869251060212,4.0,False,True,False,True,False,2
age,0.007273009593918795,0.040356508532753736,0.0459004039092179,0.11639416587122454,0.066031136,0.004664481402269367,1,5,5,0.0036851062181721427,0.005899009284784229,0.7865071553103633,0.7854408608358607,0.55437267,0.015846538018481942,0.3586252229889932,5.0,True,True,True,False,False,3
restecg,0.13251054691842717,0.38334897008960844,0.033517013555530495,0.03649105587151349,0.09551076,0.009802020605479043,3,4,10,0.06714076670966916,0.05603505397489267,0.5743167541226185,0.2462457299469928,0.80187255,0.03330018469086332,0.2964851734810382,6.0,False,True,False,False,False,1
slope,0.25542288683046205,0.7697118383843999,0.025756521389097342,0.040977175088904805,0.04904811,0.0945162558178228,2,1,9,0.12941829051200957,0.11251065680156075,0.44134008947928344,0.276518564616546,0.41178957,0.32109795538106445,0.282112520511487,7.0,False,True,False,True,False,2
oldpeak,0.032291573311804794,0.18894279689493232,0.00042276413920738776,0.14167211276737157,0.07823433,0.00488590704206396,1,6,1,0.016361573028226384,0.027618229467787244,0.0072440979202028685,0.9560192761856404,0.6568261,0.01659878237678608,0.28011133964506624,8.0,True,True,True,False,True,4
fbs,0.27822024471635065,0.5309621397219646,0.0040143415858873155,0.028205445106704738,0.08369717,0.13565892703803917,5,1,12,0.14096931134022736,0.07761203101964796,0.06878606966955822,0.19033350098817725,0.70269006,0.4608710292657336,0.27354366786506973,9.0,False,True,False,True,False,2
thalach,0.0018271690597479048,0.010108175059086602,0.0,0.13482195331468008,0.07150953,0.029465319279206877,1,1,3,0.000925794470195488,0.0014775366029839128,0.0,0.9097936333700234,0.60036725,0.10010186812139348,0.26877768010381925,10.0,True,True,True,True,False,4
trestbps,0.008578308180877597,0.048560519517780155,0.0,0.12477240890814773,0.07067287,0.022810352158474424,1,3,4,0.004346478085933067,0.007098209580663749,0.0,0.8419781827364585,0.5933429,0.07749309762889531,0.2540431447180224,11.0,True,True,True,False,False,3
thal,0.00241435786976589,0.008213098667530854,0.015117197383437198,0.057781688385602666,0.078316174,0.02706043800328646,1,2,7,0.001223312726853316,0.0012005286645967326,0.25903440705724823,0.38991730149386516,0.65751326,0.09193181891715238,0.23347010495018086,12.0,False,True,True,False,False,2
exang,0.5352434381887413,1.13885803652034,0.0,0.023760777190125607,0.04159013,0.058877589855039165,6,1,13,0.27119844911993257,0.1664696569583595,0.0,0.16034038433669645,0.34917516,0.2000235150729807,0.19120119344179676,13.0,False,True,False,True,False,2
