Dataset,Model,Accuracy,Precision,Recall,F1 Score,Roc Auc,Cv Mean
Original,Logistic_Regression,0.6229508196721312,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.7161290322580645,0.4381802721088436
Original,Decision_Tree,0.5409836065573771,0.55,0.36666666666666664,0.44,0.5381720430107527,0.47517006802721085
Original,Random_Forest,0.6065573770491803,0.65,0.43333333333333335,0.52,0.5876344086021505,0.4459183673469388
Original,SVM,0.6065573770491803,0.625,0.5,0.5555555555555556,0.3946236559139785,0.4423469387755102
Top_Features,Logistic_Regression,0.6229508196721312,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.724731182795699,0.5084183673469388
Top_Features,Decision_Tree,0.5573770491803278,0.5652173913043478,0.43333333333333335,0.49056603773584906,0.5553763440860215,0.43741496598639457
Top_Features,Random_Forest,0.5573770491803278,0.5517241379310345,0.5333333333333333,0.5423728813559322,0.6370967741935483,0.43392857142857144
Top_Features,SVM,0.639344262295082,0.7,0.4666666666666667,0.56,0.3150537634408602,0.46692176870748303
RFECV,Logistic_Regression,0.5081967213114754,0.5,0.1,0.16666666666666666,0.5075268817204301,0.45450680272108845
RFECV,Decision_Tree,0.45901639344262296,0.45161290322580644,0.4666666666666667,0.45901639344262296,0.45913978494623664,0.4875850340136054
RFECV,Random_Forest,0.45901639344262296,0.45161290322580644,0.4666666666666667,0.45901639344262296,0.5467741935483871,0.4875850340136054
RFECV,SVM,0.6557377049180327,0.6956521739130435,0.5333333333333333,0.6037735849056604,0.3682795698924731,0.4341836734693878
